"","importance","type","q95","q05","colname"
"1",-0.000498488780728668,"PFI on test data",0.000875032892038873,-0.00143730393080146,"X1"
"2",0.00241899976553661,"PFI on test data",0.00702290612742815,-0.00220973779627101,"X2"
"3",0.00538138585024761,"PFI on test data",0.00846896816931486,0.000895368162795451,"X3"
"4",0,"PFI on test data",0,0,"X4"
"5",0,"PFI on test data",0,0,"X5"
"6",0.00403011402892117,"PFI on test data",0.011147242610703,-0.0025178903382288,"X6"
"7",0,"PFI on test data",0,0,"X7"
"8",0,"PFI on test data",0,0,"X8"
"9",0,"PFI on test data",0,0,"X9"
"10",0,"PFI on test data",0,0,"X10"
"11",0,"PFI on test data",0,0,"X11"
"12",0,"PFI on test data",0,0,"X12"
"13",-0.0025331963726023,"PFI on test data",0.00251849688785199,-0.00459196766802852,"X13"
"14",0.00452582206212027,"PFI on test data",0.0181554554434467,-0.00309648931544024,"X14"
"15",0.000230837822073227,"PFI on test data",0.0193654515383364,-0.00945955195551256,"X15"
"16",0,"PFI on test data",0,0,"X16"
"17",-0.0105358357718166,"PFI on test data",-0.00283543937584021,-0.0237789977671267,"X17"
"18",0,"PFI on test data",0,0,"X18"
"19",0,"PFI on test data",0,0,"X19"
"20",0,"PFI on test data",0,0,"X20"
"21",0.0204946910258214,"mean |SHAP|",0.0205196844663303,0.0204696975853125,"X1"
"22",0,"mean |SHAP|",0,0,"X2"
"23",0.357859802820575,"mean |SHAP|",0.357930725160556,0.357788880480594,"X3"
"24",0.618510519344303,"mean |SHAP|",0.621803429294441,0.615217609394166,"X4"
"25",0,"mean |SHAP|",0,0,"X5"
"26",0.449552982794579,"mean |SHAP|",0.449630909065116,0.449475056524043,"X6"
"27",0,"mean |SHAP|",0,0,"X7"
"28",0,"mean |SHAP|",0,0,"X8"
"29",0,"mean |SHAP|",0,0,"X9"
"30",0.234049028574971,"mean |SHAP|",0.234727083443502,0.23337097370644,"X10"
"31",0.0966742347444421,"mean |SHAP|",0.0982398444583218,0.0951086250305625,"X11"
"32",0,"mean |SHAP|",0,0,"X12"
"33",0,"mean |SHAP|",0,0,"X13"
"34",0.400910371449425,"mean |SHAP|",0.402740524301607,0.399080218597243,"X14"
"35",0,"mean |SHAP|",0,0,"X15"
"36",0,"mean |SHAP|",0,0,"X16"
"37",0,"mean |SHAP|",0,0,"X17"
"38",0,"mean |SHAP|",0,0,"X18"
"39",0,"mean |SHAP|",0,0,"X19"
"40",0.102442547604067,"mean |SHAP|",0.102476074256011,0.102409020952124,"X20"
